Name;Type;MaxUnits;TotalWorkHours;AssignedTasks
BI-аналитик;Work;0,5;20,0;4.5
Backend-разработчик;Work;2,0;124,0;4.1, 4.3, 4.4, 4.5
DevOps-инженер;Work;1,25;32,0;5.3, 6.1, 6.2, 7.2
Frontend-разработчик;Work;1,5;84,0;4.2, 4.3
UX/UI-дизайнер;Work;1,0;16,0;3.3
Администратор БД;Work;0,5;8,0;6.2
Архитектор БД;Work;1,0;16,0;3.2
Бизнес-аналитик;Work;1,0;60,0;1.1, 2.1, 2.2, 2.3, 6.3
Инженер по интеграциям;Work;0,5;12,0;4.4
Инженер по нагрузочному тестированию;Work;0,5;8,0;5.3
Представитель заказчика;Work;0,25;8,0;1.2, 7.1
Разработчик;Work;0,5;18,0;5.4, 6.4
Руководитель проекта;Work;0,5;62,0;1.1, 1.2, 1.3, 3.4, 6.3, 6.4, 7.1, 7.2, 7.3
Системный аналитик;Work;1,0;82,0;2.1, 2.3, 3.1, 3.4, 4.1, 5.2
Системный архитектор;Work;1,0;24,0;3.1
Специалист поддержки;Work;0,5;12,0;6.4
Специалист сопровождения;Work;0,25;2,0;7.3
Тестировщик;Work;1,0;70,0;5.1, 5.2, 5.4, 7.1
Финансовый аналитик;Work;0,25;8,0;1.3
