ID;WBS;Name;DurationHours;Start;Finish;Predecessors;Resources;FixedCostThousandRub
1;1.1;Формирование устава проекта;16;06.05.2026;07.05.2026;—;Руководитель проекта, Бизнес-аналитик;8
2;1.2;Определение целей, границ и критериев успеха;24;08.05.2026;12.05.2026;1.1;Руководитель проекта, Представитель заказчика;10
3;1.3;План-график, бюджет, риски и коммуникации;32;13.05.2026;18.05.2026;1.2;Руководитель проекта, Финансовый аналитик;12
4;2.1;Сбор и анализ требований (администрация, УК, жители);24;19.05.2026;21.05.2026;1.3;Бизнес-аналитик, Системный аналитик;15
5;2.2;Описание процессов «как есть» (AS-IS);16;22.05.2026;25.05.2026;2.1;Бизнес-аналитик;8
6;2.3;Формирование перечня функциональных и нефункциональных требований;16;26.05.2026;27.05.2026;2.2;Системный аналитик, Бизнес-аналитик;10
7;3.1;Архитектурное проектирование (модули, роли, интеграции);24;28.05.2026;01.06.2026;2.3;Системный архитектор, Системный аналитик;20
8;3.2;Проектирование БД и справочников;16;28.05.2026;29.05.2026;3.1;Архитектор БД;12
9;3.3;Проектирование интерфейсов (web/моб. кабинет заявителя и оператора);16;28.05.2026;29.05.2026;3.1;UX/UI-дизайнер;18
10;3.4;Подготовка технического задания;16;02.06.2026;03.06.2026;3.1, 3.2, 3.3;Системный аналитик, Руководитель проекта;8
11;4.1;Модуль регистрации и маршрутизации заявок;64;04.06.2026;15.06.2026;3.4;Backend-разработчик, Системный аналитик;35
12;4.2;Личный кабинет жителя (создание/отслеживание заявок);56;04.06.2026;12.06.2026;4.1;Frontend-разработчик;28
13;4.3;Кабинет диспетчера и исполнителя;56;04.06.2026;12.06.2026;4.1;Backend-разработчик, Frontend-разработчик;30
14;4.4;Уведомления (email/SMS/push);24;16.06.2026;18.06.2026;4.1;Backend-разработчик, Инженер по интеграциям;25
15;4.5;Отчеты и аналитика (сроки, SLA, проблемные зоны);40;08.06.2026;12.06.2026;4.2, 4.3;BI-аналитик, Backend-разработчик;20
16;5.1;Подготовка тест-плана и сценариев;16;04.06.2026;05.06.2026;4.1;Тестировщик;8
17;5.2;Функциональное и интеграционное тестирование;40;19.06.2026;25.06.2026;4.2, 4.3, 4.4, 4.5;Тестировщик, Системный аналитик;18
18;5.3;Нагрузочное тестирование;16;19.06.2026;22.06.2026;5.2;Инженер по нагрузочному тестированию, DevOps-инженер;16
19;5.4;Исправление дефектов и регрессионная проверка;24;26.06.2026;30.06.2026;5.2, 5.3;Тестировщик, Разработчик;12
20;6.1;Подготовка инфраструктуры и развертывание;16;19.06.2026;22.06.2026;5.2;DevOps-инженер;32
21;6.2;Миграция начальных данных и справочников;16;23.06.2026;24.06.2026;6.1;Администратор БД, DevOps-инженер;22
22;6.3;Обучение пользователей (диспетчеры, исполнители, администраторы);16;25.06.2026;26.06.2026;6.2;Руководитель проекта, Бизнес-аналитик;14
23;6.4;Пилотная эксплуатация и корректировки;24;01.07.2026;03.07.2026;5.4, 6.2, 6.3;Руководитель проекта, Специалист поддержки, Разработчик;24
24;7.1;Приемо-сдаточные испытания;8;06.07.2026;06.07.2026;6.4;Представитель заказчика, Руководитель проекта, Тестировщик;8
25;7.2;Ввод в промышленную эксплуатацию;8;07.07.2026;07.07.2026;7.1;DevOps-инженер, Руководитель проекта;10
26;7.3;Закрытие проекта и передача в сопровождение;8;07.07.2026;07.07.2026;7.2;Руководитель проекта, Специалист сопровождения;8
